id,status_group
50785.0,functional
51630.0,functional
17168.0,non functional
45559.0,functional
49871.0,non functional
52449.0,functional
24806.0,non functional
28965.0,non functional
36301.0,non functional
54122.0,functional
419.0,functional
45750.0,non functional
653.0,non functional
14017.0,non functional
40228.0,functional
27714.0,non functional
28785.0,non functional
18532.0,non functional
69961.0,functional
55083.0,non functional
8691.0,functional
30331.0,non functional
70970.0,non functional
61136.0,functional
28799.0,functional
46825.0,non functional
44718.0,functional
37350.0,functional
65738.0,functional
3271.0,non functional
42658.0,non functional
67523.0,functional
37034.0,non functional
42432.0,non functional
27420.0,functional
707.0,functional
48489.0,functional
51008.0,non functional
72562.0,non functional
10275.0,non functional
53540.0,non functional
43291.0,functional
62343.0,functional
1649.0,functional
8822.0,non functional
10352.0,non functional
50878.0,functional
15266.0,non functional
51956.0,non functional
44099.0,functional
59.0,functional
51359.0,functional
15962.0,functional
17853.0,functional
42040.0,functional
72243.0,functional
63653.0,non functional
72053.0,non functional
29351.0,functional
51897.0,functional
20376.0,functional
26804.0,functional
67303.0,functional
69780.0,functional
54665.0,functional needs repair
39341.0,functional
8869.0,functional
20691.0,non functional
19693.0,functional
14321.0,functional
63059.0,functional
67403.0,functional
28912.0,non functional
12549.0,functional needs repair
24328.0,functional
13750.0,functional
1574.0,functional
44149.0,non functional
53917.0,functional
22705.0,functional
15644.0,non functional
20773.0,functional
33092.0,functional needs repair
54392.0,functional
37850.0,non functional
5576.0,functional
9971.0,non functional
57508.0,non functional
25872.0,functional
43978.0,non functional
38181.0,non functional
24325.0,functional
2724.0,functional
34794.0,non functional
56525.0,functional
63155.0,non functional
67247.0,functional needs repair
23387.0,non functional
17873.0,functional
18197.0,non functional
24834.0,functional
4091.0,functional
33261.0,non functional
44384.0,non functional
62096.0,functional
64554.0,functional
68314.0,functional
53.0,functional
23426.0,functional
38259.0,functional
16631.0,functional
43162.0,non functional
44492.0,functional
38884.0,functional
13690.0,functional
60335.0,non functional
31856.0,non functional
67891.0,functional
25564.0,functional
55293.0,functional
31866.0,non functional
71178.0,functional
60279.0,non functional
28615.0,functional
8744.0,functional
48308.0,non functional
49626.0,functional
38098.0,functional
30309.0,functional
8015.0,functional
3496.0,functional
56971.0,functional
68616.0,non functional
8646.0,non functional
74104.0,non functional
37501.0,functional
69202.0,functional
68409.0,non functional
51847.0,functional
55647.0,non functional
17923.0,functional
71743.0,non functional
51539.0,non functional
73819.0,non functional
66881.0,functional
58768.0,functional
2648.0,non functional
68933.0,functional
12427.0,non functional
16633.0,non functional
24123.0,functional
58551.0,non functional
17132.0,functional
3027.0,functional
2651.0,functional
25998.0,functional
63400.0,functional
50028.0,non functional
67897.0,functional
21425.0,functional
71756.0,non functional
16862.0,non functional
15420.0,non functional
712.0,non functional
54368.0,functional
