year,category,winner,entity
1927,ACTOR,False,Richard Barthelmess
1927,ACTOR,True,Emil Jannings
1927,ACTRESS,False,Louise Dresser
1927,ACTRESS,True,Janet Gaynor
1927,ACTRESS,False,Gloria Swanson
1927,ART DIRECTION,False,Rochus Gliese
1927,ART DIRECTION,True,William Cameron Menzies
1927,ART DIRECTION,False,Harry Oliver
1927,CINEMATOGRAPHY,False,George Barnes
1927,CINEMATOGRAPHY,True,Charles Rosher
1927,CINEMATOGRAPHY,True,Karl Struss
1927,DIRECTING (Comedy Picture),True,Lewis Milestone
1927,DIRECTING (Comedy Picture),False,Ted Wilde
1927,DIRECTING (Dramatic Picture),True,Frank Borzage
1927,DIRECTING (Dramatic Picture),False,Herbert Brenon
1927,DIRECTING (Dramatic Picture),False,King Vidor
1927,ENGINEERING EFFECTS,False,Ralph Hammeras
1927,ENGINEERING EFFECTS,True,Roy Pomeroy
1927,ENGINEERING EFFECTS,False,Nugent Slaughter
1927,OUTSTANDING PICTURE,False,The Caddo Company
1927,OUTSTANDING PICTURE,False,Fox
1927,OUTSTANDING PICTURE,True,Paramount Famous Lasky
1927,UNIQUE AND ARTISTIC PICTURE,True,Fox
1927,UNIQUE AND ARTISTIC PICTURE,False,Metro-Goldwyn-Mayer
1927,UNIQUE AND ARTISTIC PICTURE,False,Paramount Famous Lasky
1927,WRITING (Adaptation),False,Alfred Cohn
1927,WRITING (Adaptation),False,Anthony Coldeway
1927,WRITING (Adaptation),True,Benjamin Glazer
1927,WRITING (Original Story),False,Lajos Biro
1927,WRITING (Original Story),True,Ben Hecht
1927,WRITING (Title Writing),False,Gerald Duffy
1927,WRITING (Title Writing),True,Joseph Farnham
1927,WRITING (Title Writing),False,"George Marion, Jr."
1927,SPECIAL AWARD,True,"To Warner Bros., for producing The Jazz Singer , the pioneer outstanding talking picture, which has revolutionized the industry."
1927,SPECIAL AWARD,True,"To Charles Chaplin, for acting, writing, directing and producing The Circus ."
1928,ACTOR,False,George Bancroft
1928,ACTOR,True,Warner Baxter
1928,ACTOR,False,Chester Morris
1928,ACTOR,False,Paul Muni
1928,ACTOR,False,Lewis Stone
1928,ACTRESS,False,Ruth Chatterton
1928,ACTRESS,False,Betty Compson
1928,ACTRESS,False,Jeanne Eagels
1928,ACTRESS,False,Corinne Griffith
1928,ACTRESS,False,Bessie Love
1928,ACTRESS,True,Mary Pickford
1928,ART DIRECTION,False,Hans Dreier
1928,ART DIRECTION,True,Cedric Gibbons
1928,ART DIRECTION,False,Mitchell Leisen
1928,ART DIRECTION,False,William Cameron Menzies
1928,ART DIRECTION,False,Harry Oliver
1928,CINEMATOGRAPHY,False,George Barnes
1928,CINEMATOGRAPHY,True,Clyde De Vinna
1928,CINEMATOGRAPHY,False,Arthur Edeson
1928,CINEMATOGRAPHY,False,Ernest Palmer
1928,CINEMATOGRAPHY,False,John Seitz
1928,DIRECTING,False,Lionel Barrymore
1928,DIRECTING,False,Harry Beaumont
1928,DIRECTING,False,Irving Cummings
1928,DIRECTING,True,Frank Lloyd
1928,DIRECTING,False,Frank Lloyd
1928,DIRECTING,False,Ernst Lubitsch
1928,OUTSTANDING PICTURE,False,Feature Productions
1928,OUTSTANDING PICTURE,False,Fox
1928,OUTSTANDING PICTURE,True,Metro-Goldwyn-Mayer
1928,OUTSTANDING PICTURE,False,Metro-Goldwyn-Mayer
1928,OUTSTANDING PICTURE,False,Paramount Famous Lasky
1928,WRITING,False,Tom Barry
1928,WRITING,False,Elliott Clawson
1928,WRITING,False,Hans Kraly
1928,WRITING,True,Hans Kraly
1928,WRITING,False,Josephine Lovett
1928,WRITING,False,Bess Meredyth
1929,ACTOR,True,George Arliss
1929,ACTOR,False,George Arliss
1929,ACTOR,False,Wallace Beery
1929,ACTOR,False,Maurice Chevalier
1929,ACTOR,False,Ronald Colman
1929,ACTOR,False,Lawrence Tibbett
1929,ACTRESS,False,Nancy Carroll
1929,ACTRESS,False,Ruth Chatterton
1929,ACTRESS,False,Greta Garbo
1929,ACTRESS,True,Norma Shearer
1929,ACTRESS,False,Norma Shearer
1929,ACTRESS,False,Gloria Swanson
1929,ART DIRECTION,False,Bulldog Drummond
1929,ART DIRECTION,True,King of Jazz
1929,ART DIRECTION,False,The Love Parade
1929,ART DIRECTION,False,Sally
1929,ART DIRECTION,False,The Vagabond King
1929,CINEMATOGRAPHY,False,All Quiet on the Western Front
1929,CINEMATOGRAPHY,False,Anna Christie
1929,CINEMATOGRAPHY,False,Hell's Angels
1929,CINEMATOGRAPHY,False,The Love Parade
1929,CINEMATOGRAPHY,True,With Byrd at the South Pole
1929,DIRECTING,False,Clarence Brown
1929,DIRECTING,False,Robert Leonard
1929,DIRECTING,False,Ernst Lubitsch
1929,DIRECTING,True,Lewis Milestone
1929,DIRECTING,False,King Vidor
1929,OUTSTANDING PRODUCTION,True,All Quiet on the Western Front
1929,OUTSTANDING PRODUCTION,False,The Big House
1929,OUTSTANDING PRODUCTION,False,Disraeli
1929,OUTSTANDING PRODUCTION,False,The Divorcee
1929,OUTSTANDING PRODUCTION,False,The Love Parade
1929,SOUND RECORDING,True,The Big House
1929,SOUND RECORDING,False,The Case of Sergeant Grischa
